,filename,fraud
0,Clean_Data/Year_2020/2020-264.txt,0
1,Clean_Data/Year_2020/2020-232.txt,1
2,Clean_Data/Year_2020/2020-10.txt,0
3,Clean_Data/Year_2020/2020-108.txt,0
4,Clean_Data/Year_2020/2020-181.txt,1
5,Clean_Data/Year_2020/2020-99.txt,0
6,Clean_Data/Year_2020/2020-86.txt,0
7,Clean_Data/Year_2020/2020-192.txt,0
8,Clean_Data/Year_2020/2020-41.txt,0
9,Clean_Data/Year_2020/2020-219.txt,0
10,Clean_Data/Year_2020/2020-188.txt,0
11,Clean_Data/Year_2020/2020-45.txt,0
12,Clean_Data/Year_2020/2020-306.txt,0
13,Clean_Data/Year_2020/2020-174.txt,0
14,Clean_Data/Year_2020/2020-256.txt,0
15,Clean_Data/Year_2020/2020-324.txt,0
16,Clean_Data/Year_2020/2020-12.txt,1
17,Clean_Data/Year_2020/2020-104.txt,0
18,Clean_Data/Year_2020/2020-328.txt,0
19,Clean_Data/Year_2020/2020-226.txt,0
20,Clean_Data/Year_2020/2020-291.txt,1
21,Clean_Data/Year_2020/2020-135.txt,0
22,Clean_Data/Year_2020/2020-9.txt,0
23,Clean_Data/Year_2020/2020-257.txt,0
24,Clean_Data/Year_2020/2020-302.txt,0
25,Clean_Data/Year_2020/2020-222.txt,1
26,Clean_Data/Year_2020/2020-233.txt,0
27,Clean_Data/Year_2020/2020-250.txt,0
28,Clean_Data/Year_2020/2020-13.txt,0
29,Clean_Data/Year_2020/2020-90.txt,0
30,Clean_Data/Year_2020/2020-46.txt,0
31,Clean_Data/Year_2020/2020-248.txt,0
32,Clean_Data/Year_2020/2020-320.txt,0
33,Clean_Data/Year_2020/2020-120.txt,1
34,Clean_Data/Year_2020/2020-216.txt,0
35,Clean_Data/Year_2020/2020-331.txt,0
36,Clean_Data/Year_2020/2020-282.txt,0
37,Clean_Data/Year_2020/2020-100.txt,0
38,Clean_Data/Year_2020/2020-8.txt,0
39,Clean_Data/Year_2020/2020-204.txt,1
40,Clean_Data/Year_2020/2020-77.txt,0
41,Clean_Data/Year_2020/2020-285.txt,0
42,Clean_Data/Year_2020/2020-109.txt,0
43,Clean_Data/Year_2020/2020-242.txt,0
44,Clean_Data/Year_2020/2020-156.txt,0
45,Clean_Data/Year_2020/2020-221.txt,0
46,Clean_Data/Year_2020/2020-189.txt,0
47,Clean_Data/Year_2020/2020-36.txt,0
48,Clean_Data/Year_2020/2020-253.txt,0
49,Clean_Data/Year_2020/2020-113.txt,0
50,Clean_Data/Year_2020/2020-122.txt,1
51,Clean_Data/Year_2020/2020-132.txt,1
52,Clean_Data/Year_2020/2020-145.txt,1
53,Clean_Data/Year_2020/2020-295.txt,0
54,Clean_Data/Year_2020/2020-311.txt,0
55,Clean_Data/Year_2020/2020-162.txt,1
56,Clean_Data/Year_2020/2020-310.txt,0
57,Clean_Data/Year_2020/2020-262.txt,0
58,Clean_Data/Year_2020/2020-241.txt,0
59,Clean_Data/Year_2020/2020-82.txt,0
60,Clean_Data/Year_2020/2020-172.txt,0
61,Clean_Data/Year_2020/2020-138.txt,0
62,Clean_Data/Year_2020/2020-303.txt,0
63,Clean_Data/Year_2020/2020-194.txt,0
64,Clean_Data/Year_2020/2020-307.txt,0
65,Clean_Data/Year_2020/2020-170.txt,0
66,Clean_Data/Year_2020/2020-32.txt,0
67,Clean_Data/Year_2020/2020-312.txt,0
68,Clean_Data/Year_2020/2020-298.txt,1
69,Clean_Data/Year_2020/2020-261.txt,0
70,Clean_Data/Year_2020/2020-314.txt,0
71,Clean_Data/Year_2020/2020-195.txt,0
72,Clean_Data/Year_2020/2020-24.txt,0
73,Clean_Data/Year_2020/2020-107.txt,0
74,Clean_Data/Year_2020/2020-333.txt,0
75,Clean_Data/Year_2020/2020-277.txt,0
76,Clean_Data/Year_2020/2020-117.txt,0
77,Clean_Data/Year_2020/2020-211.txt,0
78,Clean_Data/Year_2020/2020-259.txt,0
79,Clean_Data/Year_2020/2020-160.txt,1
80,Clean_Data/Year_2020/2020-60.txt,1
81,Clean_Data/Year_2020/2020-93.txt,0
82,Clean_Data/Year_2020/2020-166.txt,0
83,Clean_Data/Year_2020/2020-169.txt,0
84,Clean_Data/Year_2020/2020-51.txt,0
85,Clean_Data/Year_2020/2020-168.txt,1
86,Clean_Data/Year_2020/2020-344.txt,0
87,Clean_Data/Year_2020/2020-297.txt,0
88,Clean_Data/Year_2020/2020-228.txt,0
89,Clean_Data/Year_2020/2020-53.txt,0
90,Clean_Data/Year_2020/2020-276.txt,0
91,Clean_Data/Year_2020/2020-20.txt,0
92,Clean_Data/Year_2020/2020-308.txt,0
93,Clean_Data/Year_2020/2020-64.txt,0
94,Clean_Data/Year_2020/2020-126.txt,0
95,Clean_Data/Year_2020/2020-275.txt,0
96,Clean_Data/Year_2020/2020-72.txt,0
97,Clean_Data/Year_2020/2020-246.txt,1
98,Clean_Data/Year_2020/2020-33.txt,0
99,Clean_Data/Year_2020/2020-332.txt,0
100,Clean_Data/Year_2020/2020-48.txt,0
101,Clean_Data/Year_2020/2020-163.txt,0
102,Clean_Data/Year_2020/2020-31.txt,0
103,Clean_Data/Year_2020/2020-251.txt,1
104,Clean_Data/Year_2020/2020-94.txt,0
105,Clean_Data/Year_2020/2020-158.txt,1
106,Clean_Data/Year_2020/2020-11.txt,0
107,Clean_Data/Year_2020/2020-136.txt,0
108,Clean_Data/Year_2020/2020-283.txt,0
109,Clean_Data/Year_2020/2020-65.txt,1
110,Clean_Data/Year_2020/2020-119.txt,0
111,Clean_Data/Year_2020/2020-198.txt,0
112,Clean_Data/Year_2020/2020-237.txt,1
113,Clean_Data/Year_2020/2020-329.txt,1
114,Clean_Data/Year_2020/2020-25.txt,0
115,Clean_Data/Year_2020/2020-247.txt,0
116,Clean_Data/Year_2020/2020-152.txt,0
117,Clean_Data/Year_2020/2020-177.txt,0
118,Clean_Data/Year_2020/2020-224.txt,0
119,Clean_Data/Year_2020/2020-255.txt,0
120,Clean_Data/Year_2020/2020-305.txt,0
121,Clean_Data/Year_2020/2020-153.txt,0
122,Clean_Data/Year_2020/2020-130.txt,0
123,Clean_Data/Year_2020/2020-173.txt,0
124,Clean_Data/Year_2020/2020-309.txt,0
125,Clean_Data/Year_2020/2020-143.txt,0
126,Clean_Data/Year_2020/2020-171.txt,0
127,Clean_Data/Year_2020/2020-50.txt,0
128,Clean_Data/Year_2020/2020-67.txt,0
129,Clean_Data/Year_2020/2020-88.txt,0
130,Clean_Data/Year_2020/2020-286.txt,0
131,Clean_Data/Year_2020/2020-223.txt,0
132,Clean_Data/Year_2020/2020-266.txt,0
133,Clean_Data/Year_2020/202-343.txt,1
134,Clean_Data/Year_2020/2020-214.txt,0
135,Clean_Data/Year_2020/2020-125.txt,0
136,Clean_Data/Year_2020/2020-339.txt,0
137,Clean_Data/Year_2020/2020-244.txt,0
138,Clean_Data/Year_2020/2020-127.txt,0
139,Clean_Data/Year_2020/2020-44.txt,1
140,Clean_Data/Year_2020/2020-137.txt,1
141,Clean_Data/Year_2020/2020-186.txt,0
142,Clean_Data/Year_2020/2020-134.txt,0
143,Clean_Data/Year_2020/2020-151.txt,0
144,Clean_Data/Year_2020/2020-184.txt,0
145,Clean_Data/Year_2020/2020-167.txt,1
146,Clean_Data/Year_2020/2020-207.txt,1
147,Clean_Data/Year_2020/2020-56.txt,1
148,Clean_Data/Year_2020/2020-62.txt,0
149,Clean_Data/Year_2020/2020-110.txt,1
150,Clean_Data/Year_2020/2020-6.txt,0
